k,Inercia,Silhouette,Davies_Bouldin,Calinski_Harabasz,Tiempo_s
2,452.1726989746094,0.08615554869174957,2.8936775796220857,93.89606083953777,0.1838908999998239
3,430.01971435546875,0.0801708996295929,3.240777766351832,72.3391834672457,0.2279366000002483
4,414.0253601074219,0.05224861204624176,2.96618094250101,61.53242087569013,0.24901260000115144
5,403.6051025390625,0.05304260551929474,3.050651002023379,53.045180322494616,0.27127159999872674
6,394.8589172363281,0.05250636860728264,3.3070193586596695,47.27467469883797,0.28094100000089384
7,387.6749267578125,0.05366086587309837,3.235468056483105,42.829301850662695,0.30042300000059186
8,381.16839599609375,0.04797997325658798,3.011675190873005,39.46341221775969,0.31159950000073877
9,375.11346435546875,0.02029578760266304,3.03005260856009,36.84010552453622,0.3458623999977135
10,369.0107727050781,0.03105061501264572,2.9972290319847525,34.88075547137609,0.34993949999989127
