Provincia,Tweets_politicos
Guayas,66390
Sin ubicación,9351
No identificada,9307
Manabí,5863
Tungurahua,3520
Pichincha,3148
Los Ríos,2019
Azuay,1840
Chimborazo,1816
Santa Elena,1532
Cotopaxi,575
Bolívar,341
Napo,301
Cañar,298
Morona Santiago,166
Pastaza,129
Galápagos,56
Esmeraldas,35
El Oro,33
Loja,12
Santo Domingo de los Tsáchilas,11
Imbabura,6
Carchi,6
Orellana,2
