Indicador,Valor
Registros totales,138400
Textos únicos globales,138192
Duplicados globales por texto,208
Registros únicos por evento + texto,138400
Duplicados por evento + texto,0
Textos vacíos,0
Tokens vacíos,0
Ubicación faltante o vacía,11393
