Algoritmo,Clusters,Ruido_pct,Silhouette,Davies_Bouldin,Calinski_Harabasz,Tiempo_s,Estado
K-Means (k=2),2,0.0,0.08615554869174957,2.8936775796220857,93.89606083953777,0.1838908999998239,OK
HDBSCAN,0,100.0,,,,0.2608131000015419,OK
