Dimension,Escenario,Modelo,Referencia,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN
100,Escenario 1,Pseudoetiquetado directo,Ground truth humano,0.6866666666666666,0.6038135593220338,0.9965034965034965,0.7519788918205804,0.9965034965034965,0.40445859872611467,0.6038135593220338,0.5955414012738853,0.8818069306930693,0.6554737810487581,285.0,127.0,187.0,1.0
100,Escenario 1,Árbol de Decisión,Ground truth humano,0.68,0.5983263598326359,1.0,0.7486910994764397,1.0,0.3885350318471338,0.5983263598326359,0.6114649681528662,0.8816276202219482,0.6505914467697907,286.0,122.0,192.0,0.0
100,Escenario 1,KNN,Ground truth humano,0.6983333333333334,0.6143790849673203,0.986013986013986,0.7570469798657719,0.986013986013986,0.43630573248407645,0.6143790849673203,0.5636942675159236,0.8796007485963818,0.6644674835061263,282.0,137.0,177.0,4.0
100,Escenario 1,Naïve Bayes,Ground truth humano,0.7633333333333333,0.7608695652173914,0.7342657342657343,0.7473309608540926,0.7342657342657343,0.7898089171974523,0.7608695652173914,0.21019108280254778,0.7394366197183099,0.7553956834532374,210.0,248.0,66.0,76.0
100,Escenario 1,SVM,Ground truth humano,0.6866666666666666,0.6038135593220338,0.9965034965034965,0.7519788918205804,0.9965034965034965,0.40445859872611467,0.6038135593220338,0.5955414012738853,0.8818069306930693,0.6554737810487581,285.0,127.0,187.0,1.0
100,Escenario 2,Pseudoetiquetado directo,Ground truth humano,0.65,0.5769230769230769,0.9965034965034965,0.7307692307692307,0.9965034965034965,0.3343949044585987,0.5769230769230769,0.6656050955414012,0.86996336996337,0.629973474801061,285.0,105.0,209.0,1.0
100,Escenario 2,Árbol de Decisión,Ground truth humano,0.6383333333333333,0.5688622754491018,0.9965034965034965,0.7242693773824651,0.9965034965034965,0.31210191082802546,0.5688622754491018,0.6878980891719745,0.8662613981762918,0.6222707423580786,285.0,98.0,216.0,1.0
100,Escenario 2,KNN,Ground truth humano,0.665,0.587991718426501,0.993006993006993,0.7386215864759428,0.993006993006993,0.3662420382165605,0.587991718426501,0.6337579617834395,0.8727719729563614,0.6402164111812444,284.0,115.0,199.0,2.0
100,Escenario 2,Naïve Bayes,Ground truth humano,0.76,0.7482517482517482,0.7482517482517482,0.7482517482517482,0.7482517482517482,0.7707006369426752,0.7482517482517482,0.22929936305732485,0.7482517482517482,0.7482517482517482,214.0,242.0,72.0,72.0
100,Escenario 2,SVM,Ground truth humano,0.65,0.5769230769230769,0.9965034965034965,0.7307692307692307,0.9965034965034965,0.3343949044585987,0.5769230769230769,0.6656050955414012,0.86996336996337,0.629973474801061,285.0,105.0,209.0,1.0
