Dimension,Escenario,Algoritmo,Tiempo_clasificador_s,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Top_N_solicitado,N_terminos_anadidos,Umbral_similitud,Politicos_test,Politicos_test_pct
100,Top-25,Árbol de Decisión,36.610159199997724,0.9082434860736748,0.9409655943014107,0.9447041226512106,0.9428311524735847,0.9447041226512106,0.7615644979315532,0.9409655943014107,0.2384355020684468,0.943954042314698,0.9417109309477215,20211.0,4050.0,1268.0,1183.0,25,25,0.7925782799720764,21394,80.09134471398622
100,Top-25,KNN,11.95916930000385,0.9413372267145852,0.9747162763970694,0.9514349817705899,0.9629349291576981,0.9514349817705899,0.9007145543437383,0.9747162763970694,0.09928544565626175,0.9560018410843611,0.9699693117053924,20355.0,4790.0,528.0,1039.0,25,25,0.7925782799720764,21394,80.09134471398622
100,Top-25,Naïve Bayes,0.18105540000397014,0.5718029350104822,0.945817660755866,0.493643077498364,0.6487100737100737,0.493643077498364,0.8862354268522,0.945817660755866,0.11376457314779992,0.5458332471935664,0.7993732780283993,10561.0,4713.0,605.0,10833.0,25,25,0.7925782799720764,21394,80.09134471398622
100,Top-25,SVM,2.4033307999998215,0.988057801737047,0.9857109933164323,0.9995793213050388,0.9925967184200144,0.9995793213050388,0.9417074088003009,0.9857109933164323,0.05829259119969914,0.9967745243355614,0.9884537874165696,21385.0,5008.0,310.0,9.0,25,25,0.7925782799720764,21394,80.09134471398622
100,Top-50,Árbol de Decisión,36.31038489999628,0.9187631027253669,0.9539151141616473,0.9452644241891455,0.9495700673948408,0.9452644241891455,0.8064326338497745,0.9539151141616473,0.19356736615022554,0.9469819874106555,0.9521723324726652,20430.0,4112.0,987.0,1183.0,50,50,0.762505829334259,21613,80.91120095837077
100,Top-50,KNN,11.6488892999987,0.9415618448637316,0.9741770715096482,0.9530375237125804,0.9634913581401876,0.9530375237125804,0.8929201804275348,0.9741770715096482,0.10707981957246519,0.9571917171642068,0.9698744691069696,20598.0,4553.0,546.0,1015.0,50,50,0.762505829334259,21613,80.91120095837077
100,Top-50,Naïve Bayes,0.18321319999813568,0.569219826295298,0.9470890107945497,0.49525748392171376,0.6504025520279508,0.49525748392171376,0.8827221023730143,0.9470890107945497,0.11727789762698568,0.547496777625468,0.800945810448811,10704.0,4501.0,598.0,10909.0,50,50,0.762505829334259,21613,80.91120095837077
100,Top-50,SVM,2.0657142999989446,0.9885070380353399,0.9863495252008766,0.999629852403646,0.9929452857503964,0.999629852403646,0.9413610511865071,0.9863495252008766,0.05863894881349284,0.9969452545313596,0.9889772862518196,21605.0,4800.0,299.0,8.0,50,50,0.762505829334259,21613,80.91120095837077
100,Top-100,Árbol de Decisión,34.810756699997,0.9177523210542079,0.9450652601466119,0.9562208855320881,0.9506103455252568,0.9562208855320881,0.7328841556183439,0.9450652601466119,0.26711584438165614,0.9539687409760323,0.9472755132214447,21143.0,3372.0,1229.0,968.0,100,100,0.7057809829711914,22111,82.77553159628631
100,Top-100,KNN,12.12887029999547,0.9461290805630428,0.9743024963289281,0.9602460313870924,0.967223196592488,0.9602460313870924,0.8782873288415561,0.9743024963289281,0.12171267115844382,0.9630247831924236,0.9714583771813432,21232.0,4041.0,560.0,879.0,100,100,0.7057809829711914,22111,82.77553159628631
100,Top-100,Naïve Bayes,0.17211700000189012,0.5666367175801138,0.9546042979200828,0.5002487449685676,0.6564781292658318,0.5002487449685676,0.8856770267333188,0.9546042979200828,0.11432297326668116,0.5528786076316342,0.8078557969003345,11061.0,4075.0,526.0,11050.0,100,100,0.7057809829711914,22111,82.77553159628631
100,Top-100,SVM,2.167924599998514,0.999475890985325,0.999638221860444,0.9997286418524716,0.9996834298118669,0.9997286418524716,0.9982612475548793,0.999638221860444,0.001738752445120626,0.9997105565454923,0.9996563045503468,22105.0,4593.0,8.0,6.0,100,100,0.7057809829711914,22111,82.77553159628631
100,Top-200,Árbol de Decisión,31.437858600002073,0.9240790655884995,0.9525108225108225,0.9594052498473882,0.9559456054220793,0.9594052498473882,0.7096347273689783,0.9525108225108225,0.2903652726310217,0.9580183914451914,0.9538817694695406,22003.0,2681.0,1097.0,931.0,200,200,0.6097872257232666,22934,85.8565438754118
100,Top-200,KNN,12.056641600000148,0.9546645702306079,0.9793882685262832,0.9675590825848086,0.9734377399048058,0.9675590825848086,0.8763896241397565,0.9793882685262832,0.12361037586024351,0.9699020044932819,0.9769993483735757,22190.0,3311.0,467.0,744.0,200,200,0.6097872257232666,22934,85.8565438754118
100,Top-200,Naïve Bayes,0.20162539999728324,0.5618074273734651,0.9638932496075353,0.5086770733408913,0.6659245940006279,0.5086770733408913,0.8843303335097935,0.9638932496075353,0.11566966649020646,0.5617349935958551,0.8175651052616825,11666.0,3341.0,437.0,11268.0,200,200,0.6097872257232666,22934,85.8565438754118
100,Top-200,SVM,2.3901247000030708,0.9991015274034142,0.99921554955112,0.9997383796982646,0.9994768962510898,0.9997383796982646,0.9952355743779777,0.99921554955112,0.004764425622022234,0.9996337699028618,0.9993200718283094,22928.0,3760.0,18.0,6.0,200,200,0.6097872257232666,22934,85.8565438754118
