Dimension,Escenario,Modelo,Referencia,N_holdout,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Balanced_Accuracy,Cohen_Kappa,MCC
50,Escenario 1,Pseudoetiquetado directo,Silver standard de hashtags — features sin hashtags,4240,0.8860849056603773,0.9051918735891648,0.9561847988077496,0.9299898536019713,0.9561847988077496,0.6203389830508474,0.9051918735891648,0.37966101694915255,0.9455317142183447,0.9149506588329245,3208.0,549.0,336.0,147.0,0.7882618909292985,0.6257127818229669,0.6325336698664167
50,Escenario 1,Árbol de Decisión,Silver standard de hashtags — features sin hashtags,4240,0.8632075471698113,0.8947368421052632,0.9374068554396423,0.9155749636098981,0.9374068554396423,0.5819209039548022,0.8947368421052632,0.4180790960451977,0.9285503395335105,0.9029572207866782,3145.0,515.0,370.0,210.0,0.7596638796972223,0.5563533370015243,0.5605673088680079
50,Escenario 1,KNN,Silver standard de hashtags — features sin hashtags,4240,0.8705188679245283,0.899032992036405,0.9421758569299553,0.920098966671518,0.9421758569299553,0.5988700564971752,0.899032992036405,0.4011299435028249,0.9332191780821918,0.9073425569780125,3161.0,530.0,355.0,194.0,0.7705229567135652,0.5798782820881192,0.584330159422329
50,Escenario 1,Naïve Bayes,Silver standard de hashtags — features sin hashtags,4240,0.5632075471698114,0.8580276322058122,0.5368107302533532,0.6604327099376605,0.5368107302533532,0.6632768361581921,0.8580276322058122,0.3367231638418079,0.5802564598234422,0.766317760190622,1801.0,587.0,298.0,1554.0,0.6000437832057727,0.13142720616945425,0.16263853241919513
50,Escenario 1,SVM,Silver standard de hashtags — features sin hashtags,4240,0.8858490566037736,0.9051651143099069,0.9558867362146051,0.9298347347057118,0.9558867362146051,0.6203389830508474,0.9051651143099069,0.37966101694915255,0.9452926958674762,0.9148741941005306,3207.0,549.0,336.0,148.0,0.7881128596327263,0.6251070973823483,0.6318421163602801
50,Escenario 2,Pseudoetiquetado directo,Silver standard de hashtags — features sin hashtags,4240,0.879245283018868,0.8923544024289263,0.9636363636363636,0.9266265405560332,0.9636363636363636,0.559322033898305,0.8923544024289263,0.4406779661016949,0.9484832482544153,0.9057544685381297,3233.0,495.0,390.0,122.0,0.7614791987673344,0.5885671832446047,0.6027098508478503
50,Escenario 2,Árbol de Decisión,Silver standard de hashtags — features sin hashtags,4240,0.855188679245283,0.881436125800167,0.9439642324888227,0.911629245826137,0.9439642324888227,0.5186440677966102,0.881436125800167,0.48135593220338985,0.930758831481808,0.8932701528741468,3167.0,459.0,426.0,188.0,0.7313041501427164,0.5134352180828298,0.5228180457831213
50,Escenario 2,KNN,Silver standard de hashtags — features sin hashtags,4240,0.8705188679245283,0.8875690607734806,0.9576751117734724,0.9212903225806451,0.9576751117734724,0.5401129943502825,0.8875690607734806,0.4598870056497175,0.9427816901408451,0.9007569386038689,3213.0,478.0,407.0,142.0,0.7488940530618775,0.559453423672357,0.5725485026033064
50,Escenario 2,Naïve Bayes,Silver standard de hashtags — features sin hashtags,4240,0.5820754716981132,0.8612505705157463,0.5624441132637854,0.6804904435629282,0.5624441132637854,0.656497175141243,0.8612505705157463,0.34350282485875705,0.6043815258471591,0.7785295816486508,1887.0,581.0,304.0,1468.0,0.6094706442025142,0.14751918379110052,0.1780546824142767
50,Escenario 2,SVM,Silver standard de hashtags — features sin hashtags,4240,0.8790094339622642,0.8923246824958586,0.963338301043219,0.9264726960011467,0.963338301043219,0.559322033898305,0.8923246824958586,0.4406779661016949,0.9482455110902476,0.9056772964187637,3232.0,495.0,390.0,123.0,0.761330167470762,0.5879564906059263,0.601961865619376
